candidate_name,google_place_id,google_primary_type,address,website,disposition,source_platform,scraper_key,source_url,smoke_result,evidence
Comedy On The Waterfront,ChIJn_32dGLIxokRzEq4a9ukiVg,service,"325 N Christopher Columbus Blvd, Philadelphia, PA 19106",http://www.eventbrite.com/o/nsw-media-group-817558125,deny_listed_aggregator_or_producer,,,,,"Eventbrite organizer 817558125 is NSW Media Group; Google result is a service/organizer, not a venue-owned club calendar."
Improv Ambler,ChIJtaYWLQK7xokRnlOdDyVT9jc,performing_arts_theater,"85 E Butler Ave, Ambler, PA 19002",,deny_listed_no_supported_calendar,,,,,"No first-party website in candidate data for verification or scraper configuration."
Vince Valentine's Comedy Collective,ChIJf0D4MIwuE60RnijYpKmk98E,service,"45 Manchester Rd, Sewell, NJ 08080",https://www.vvcomedy.com/,deny_listed_non_venue_service,,,,,"Site describes comedy shows for corporate/private events, not a fixed public venue calendar."
"Poco's Restaurant, Bar & Comedy Cabaret",ChIJgywfGpgCxIkRLQDMoaSCI-A,restaurant,"625 N Main St, Doylestown, PA 18901",https://pocos.com/,deny_listed_unsupported_calendar,,,,,"Poco's links to Comedy Cabaret Doylestown; ticket links are us.patronbase.com, which is not supported by the existing PatronTicket scraper."
Al's Diamond Cabaret,ChIJ6ZUhkxN3xokRrX3m_eUMZrg,night_club,"1810 N 5th St, Reading, PA 19601",https://alsdiamondcabaret.com/employment/,deny_listed_non_comedy,,,,,"Adult cabaret/employment page with no comedy show calendar."
Gemini Comedy Entertainment,ChIJ__-_XRyTw4kRlIUYIyqYqYs,service,"6 Commerce St, Somerville, NJ 08876",http://www.geminicomedy.com/,deny_listed_non_venue_service,,,,,"Entertainer booking service, not a venue-owned public calendar."
Good Human Improv Company,ChIJ8XmUB3ttxIkRFCWK9GzGr1U,performing_arts_theater,"916 Northampton St, Easton, PA 18042",https://www.goodhumanimprov.com/,deny_listed_no_supported_calendar,,,,,"Site focuses on classes/corporate training and did not expose a supported scraper platform."
Comedian Joseph Anthony,ChIJdY6-06R_wYkRILNJq1CyPSw,service,"53 Sami Dr, Howell Township, NJ 07731",https://www.fiverr.com/crookedviews,deny_listed_individual_comedian,,,,,"Individual comedian/Fiverr service, not a venue."
Cabaret Theatre (Rutgers University),ChIJbQ7H5ULGw4kRuz5PzjeMf0M,performing_arts_theater,"7 Suydam St, New Brunswick, NJ 08901",http://www.cabarettheatre.org/,deny_listed_non_comedy_theater,,,,,"Student theater site/ticketing, not a dedicated comedy or improv club calendar."
Lancaster Improv Players,ChIJic7wlFglxokRl5sigzliBvA,performing_arts_theater,"16 S Prince St, Lancaster, PA 17603",https://www.lancasterimprovplayers.org/,onboarded,eventbrite,eventbrite,https://www.eventbrite.com,10 shows,"First-party site links to Eventbrite organizer 18160289357; EventbriteScraper with exclude_classes=true returned public improv shows."
Improv 4 Life,ChIJiRq8aPAnwokRVp6ZfFWpcIE,association_or_organization,"1700 Main St, Lake Como, NJ 07719",https://improv4life.org/,deny_listed_education,,,,,"Classes organization with Mindbody-style education links and no venue-owned public comedy show feed."
Shore Thing Theater - Home of ComedySportz Jersey Shore,ChIJSzKexYAnwokRxWhUQlv4JhA,performing_arts_theater,"66 S Main St Studio 1, Ocean Grove, NJ 07756",http://www.shorethingtheater.com/,onboarded,crowdwork,crowdwork,https://crowdwork.com/api/v2/shorethingtheater1/shows,5 shows,"First-party /shows page embeds Crowdwork data-theatre=shorethingtheater1; GenericCrowdworkScraper returned ComedySportz shows."
Letter of Marque Theater Co. & Brooklyn Improv Training,ChIJQxTE9KNZwokR8uQW5AxR6jY,association_or_organization,"103 10th St, Brooklyn, NY 11215",http://www.lomtheater.org/,deny_listed_theater_training,,,,,"Theater company and improv training organization; mixed Zeffy/OvationTix links are not a dedicated venue-owned comedy club feed."
Improvolution,ChIJ8UmkZaNZwokR6bkotwn3W20,performing_arts_theater,"115 MacDougal St, New York, NY 10012",https://www.improvolution.org/,deny_listed_no_supported_calendar,,,,,"Improv school/training site; no supported Squarespace/API calendar source found."
Drop Three Improv and Sketch Comedy,ChIJUbHGFJcEyIkR9mJTV97VFD4,association_or_organization,"7911 Harford Rd, Parkville, MD 21234",http://www.dropthree.com/,deny_listed_no_supported_calendar,,,,,"Organization/group site with no supported public show calendar source."
Manhattan Comedy School,ChIJY_fFGbtZwokRkUXAJ3IZBGI,educational_institution,"500 8th Ave, New York, NY 10018",http://www.manhattancomedyschool.com/,deny_listed_education,,,,,"Comedy school/classes, not a venue-owned recurring public show calendar."
Amateur Comedy Club,ChIJmTJDjwZZwokRFDMJV7vXHqw,association_or_organization,"150 E 36th St, New York, NY 10016",http://www.amateurcomedyclub.org/,deny_listed_non_comedy_feed,,,,5 events,"Wix smoke test returned five Summer Make Believe theater performances, not comedy/improv shows."
Greenpoint Comedy Club,ChIJK6eJyERZwokRVLbeM4_T7XY,bar,"66 Greenpoint Ave, Brooklyn, NY 11222",https://www.greenpointcomedyclub.com/,deny_listed_no_supported_calendar,,,,,"First-party ticket host tickets.greenpointcomedyclub.com did not resolve during triage and no supported feed could be configured."
New York Comedy Festival,ChIJWYwvFFZYwokRBKYkswODxNk,corporate_office,"1626 Broadway, New York, NY 10019",http://www.nycomedyfestival.com/,deny_listed_festival,,,,,"Festival/corporate office, not a fixed venue calendar."
Improv 4 Kids,ChIJFWmwnldYwokRZRfoD31ocYo,performing_arts_theater,"318 W 53rd St, New York, NY 10019",http://improv4kids.com/,deny_listed_education,,,,49 events,"OvationTix smoke test returned Comedy 4 Teens/education-style events rather than a comedy club calendar."
IMPROV,ChIJya-DOwJZwokRuyaGKO3MhTs,uncategorized,"575 Lexington Ave 4th floor, New York, NY 10022",https://www.myimprov.com/defensive-driving/new-york,deny_listed_non_comedy,,,,,"Defensive driving business, not a comedy/improv show venue."
Baltimore Comedy Festival,ChIJ1XBCLcAEyIkRRO83Sg1QWh4,corporate_office,"120 W North Ave, Baltimore, MD 21201",,deny_listed_festival,,,,,"Festival/corporate office with no website in candidate data and no fixed venue calendar."
The Red Room Cabaret,ChIJre21q50EyIkRMAAFZPZjnXU,uncategorized,"411 E Baltimore St, Baltimore, MD 21202",,deny_listed_no_supported_calendar,,,,,"No website in Google Places and no verified scrapeable venue-owned calendar."
Harrisburg Improv Theatre,ChIJ5Y1KUT7ByIkRt4x3FBi9AOw,performing_arts_theater,"1633 N 3rd St, Harrisburg, PA 17102",http://www.hbgimprov.com/,deny_listed_no_supported_calendar,,,,0 shows,"Squarespace products smoke test returned zero parseable shows because product titles did not contain dates; no supported calendar source available."
Long Island Improv,ChIJl_YYnY17wokRb0a28hkQiaM,educational_institution,"228 S Ocean Ave, Freeport, NY 11520",http://longislandimprov.com/,deny_listed_education,,,,,"Education/classes site with no supported public show feed."
