triage_status,canonical_name,category,comedytickets_ids,comedytickets_names,comedytickets_event_count,comedytickets_location,city,state,country,first_party_url,detected_platform,matched_club_id,matched_club_name,matched_scraper_keys,duplicate_or_skip_reason,next_task
needs-manual-research,3Arena,theater_or_mixed_venue,1786,3Arena,7,Dublin,Dublin,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Agora Theater & Ballroom,theater_or_mixed_venue,1127,Agora Theater & Ballroom,5,"Cleveland, OH",Cleveland,OH,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Ann Arbor Comedy Showcase,dedicated_comedy_candidate,139,Ann Arbor Comedy Showcase,46,"212 S 4th Ave, Ann Arbor, MI 48104, Ann Arbor, MI",Ann Arbor,MI,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Aquila's Nest Vineyard,general_venue_candidate,2597,Aquila's Nest Vineyard,11,"Sandy Hook, CT",Sandy Hook,CT,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Arlington Music Hall,theater_or_mixed_venue,16031,Arlington Music Hall,5,"224 N Center St, Arlington, TX",Arlington,TX,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Aruba Ray's Comedy Club,dedicated_comedy_candidate,159,Aruba Ray's Comedy Club,20,"J.E. Irausquin Blvd 248, Eagle Beach, Aruba, Eagle Beach",Eagle Beach,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,B.B. King's Blues Club,general_venue_candidate,2033,B.B. King's Blues Club,7,"Orlando, FL",Orlando,FL,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Bay St. Louis Little Theatre,theater_or_mixed_venue,2639,Bay St. Louis Little Theatre,6,"Bay St. Louis, MS",Bay St. Louis,MS,US,,,,,,first-party source and scraper platform need verification,3589
needs-manual-research,Beach Cove Resort,theater_or_mixed_venue,2827,Beach Cove Resort,7,"North Myrtle Beach, SC",North Myrtle Beach,SC,US,,,,,,first-party source and scraper platform need verification,3589
needs-deny,Bert Kreischer's Fully Loaded at Sea 2026,festival_or_event,8304,Bert Kreischer's Fully Loaded at Sea 2026,5,"Miami, FL",Miami,FL,US,,,,,,"placeholder, event-specific, class/open-mic, or non-venue record; do not enable a venue scraper without canonical merge",3591
needs-manual-research,Big Laugh Comedy Club Fort Worth,dedicated_comedy_candidate,160;161,Big Laugh Comedy Club Fort Worth - Funky Room; Big Laugh Comedy Club Fort Worth - Panther Room,135,"604 Main St, Suite 100, Fort Worth, TX 76102, Fort Worth, TX",Fort Worth,TX,US,,,,,,first-party source and scraper platform need verification,3588
needs-manual-research,Boom Chicago,general_venue_candidate,540,Boom Chicago,8,"Rozengracht 117, Amsterdam, Netherlands",Netherlands,,,,,,,,first-party source and scraper platform need verification,3590
needs-manual-research,Bottlerocket Social Hall,theater_or_mixed_venue,596,Bottlerocket Social Hall,6,"Pittsburgh, PA",Pittsburgh,PA,US,,,,,,first-party source and scraper platform need verification,3589
already-covered,Bricktown Comedy Club - Oklahoma City,dedicated_comedy_candidate,3268,Bricktown Comedy Club - Oklahoma City,15,"Oklahoma City, OK",Oklahoma City,OK,US,https://www.bricktowncomedy.com,"existing enabled source: live_nation,seatengine_classic",90,Bricktown Comedy Club,"live_nation,seatengine_classic",manual alias to existing club; candidate should merge/use existing club rather than create a new scraper target,none
needs-manual-research,Brignole Vineyards,general_venue_candidate,2594,Brignole Vineyards,6,"East Granby, CT",East Granby,CT,US,,,,,,first-party source and scraper platform need verification,3589
