candidate,city,state,ct_event_count,disposition,club_id,club_name,verified_future_shows,first_party_url,enabled_source,notes
Ann Arbor Comedy Showcase,Ann Arbor,MI,46,needs_manual_research,,,,,,first-party source/platform not verified in this pass
Big Laugh Comedy Club Fort Worth,Fort Worth,TX,135,needs_manual_research,,,,,,first-party source/platform not verified in this pass
Claude's Comedy Club & Bar,Philadelphia,PA,18,needs_manual_research,,,,,,first-party source/platform not verified in this pass
Dallas Comedy Club,Dallas,TX,211,needs_manual_research,,,,,,low-confidence DB name hits were other Dallas venues; no source enabled
DC Comedy Loft and Bier Baron Tavern,Washington,DC,21,already_covered_existing_source,71,The Comedy Loft of DC,226,http://www.dccomedyloft.com,seatengine/seatengine_classic p0 www.dccomedyloft.com/events,current DB has enabled first-party source; no duplicate inserted
Flop House Comedy Club,Brooklyn,NY,12,needs_manual_research,,,,,,first-party source/platform not verified in this pass
Funny Bone Comedy Club - Albany,Albany,NY,25,already_covered_existing_source,323,Albany Funny Bone,97,https://albany.funnybone.com,etix/etix p0 https://albany.funnybone.com/shows/,current DB has enabled first-party source; no duplicate inserted
Funny Bone Comedy Club - Cincinnati,Liberty Township,OH,13,already_covered_existing_source,11431,Liberty Funny Bone,107,https://liberty.funnybone.com/,etix/etix p0 https://liberty.funnybone.com/shows/,current DB has enabled first-party source; no duplicate inserted
Funny Bone Comedy Club - Cleveland,Cleveland,OH,16,already_covered_existing_source,1050,Cleveland Funny Bone,108,https://cleveland.funnybone.com,etix/etix p0 https://www.etix.com/ticket/v/31603/funny-bone-comedy-club-cleveland,current DB has enabled first-party source; no duplicate inserted
Funny Bone Comedy Club - Kansas City,Kansas City,MO,18,already_covered_existing_source,2462,Kansas City Funny Bone,46,https://kc.funnybone.com,etix/etix p0 https://kc.funnybone.com/,current DB has enabled first-party source; no duplicate inserted
Funny Bone Comedy Club - St. Louis,St. Louis,MO,6,onboarded_staged,,St. Louis Funny Bone,113,https://stlouisfunnybone.com,custom/standup_media p0 https://stlouisfunnybone.com/events,verified first-party StandUp Media identifiers; migration inserts guarded club/source
