candidate_id,comedian_id,comedian_name,matched_name,normalized_match,feed_id,podcast_title,author,feed_url,confidence,current_status,decision,review_reason,evidence
28:1376166,28,Che Durena,"Episode 145 - Che Durena, Shayne Smith, & Mike Abrusci","che, durena",1376166,Bi Guys,,https://rss.art19.com/bi-guys,1.00,pending,,,"{""episode_title"": ""Episode 145 - Che Durena, Shayne Smith, & Mike Abrusci"", ""feed_url"": ""https://rss.art19.com/bi-guys"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 17377228770, ""podcast_index_guid"": ""gid://art19-episode-locator/V0/ZcoCrUkHP920iKXLUnXpjjjIM0UCLNg9HlniFZRKSy4"", ""podcast_name"": ""Bi Guys"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""1376166"", ""source_feed_url"": ""https://rss.art19.com/bi-guys""}"
28:1621326,28,Che Durena,0073. Che Durena and Ian Lara,"che, durena",1621326,Real Ass Podcast,,https://audioboom.com/channels/3592965.rss,1.00,pending,,,"{""episode_title"": ""0073. Che Durena and Ian Lara"", ""feed_url"": ""https://audioboom.com/channels/3592965.rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 47407304389, ""podcast_index_guid"": ""gid://art19-episode-locator/V0/h_QvJ_P616sfbik9mXqDOVPnjUqYjYOFN0XyN0t_Jf8"", ""podcast_name"": ""Real Ass Podcast"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""1621326"", ""source_feed_url"": ""https://audioboom.com/channels/3592965.rss""}"
28:3373324,28,Che Durena,"207. Che Durena- tour pu$$y, mommy issues & why you should say ""thank you"" in bed","che, durena",3373324,The Horny Housewife,,https://feeds.megaphone.fm/EDGY2175464131,1.00,pending,,,"{""episode_title"": ""207. Che Durena- tour pu$$y, mommy issues & why you should say \""thank you\"" in bed"", ""feed_url"": ""https://feeds.megaphone.fm/EDGY2175464131"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 30061296343, ""podcast_index_guid"": ""6d1629f8-924b-11ee-a960-ef1847259f10"", ""podcast_name"": ""The Horny Housewife"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""3373324"", ""source_feed_url"": ""https://feeds.megaphone.fm/EDGY2175464131""}"
28:3496522,28,Che Durena,Che Durena's Brutally Horny Pt 2,"che, durena",3496522,2 Girls 1 Blunt,,https://rss.buzzsprout.com/1744999.rss,1.00,pending,,,"{""episode_title"": ""Che Durena's Brutally Horny Pt 2"", ""feed_url"": ""https://rss.buzzsprout.com/1744999.rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 14446723931, ""podcast_index_guid"": ""Buzzsprout-12526691"", ""podcast_name"": ""2 Girls 1 Blunt"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""3496522"", ""source_feed_url"": ""https://rss.buzzsprout.com/1744999.rss""}"
28:405435,28,Che Durena,#188 | Che Durena joins SOMETHIN’ CRUNCHY,"che, durena",405435,SOMETHIN’ CRUNCHY,,https://www.somethincrunchy.com/feed.xml,1.00,pending,,,"{""episode_title"": ""#188 | Che Durena joins SOMETHIN\u2019 CRUNCHY"", ""feed_url"": ""https://www.somethincrunchy.com/feed.xml"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 28073398773, ""podcast_index_guid"": ""somethincrunchy.podbean.com/3a031673-70c2-306a-bada-6c042deef465"", ""podcast_name"": ""SOMETHIN\u2019 CRUNCHY"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""405435"", ""source_feed_url"": ""https://www.somethincrunchy.com/feed.xml""}"
28:451353,28,Che Durena,170 - Sigma ISIS with Che Durena,"che, durena",451353,Cowboy Boys Podcast,,https://cowboyboys.libsyn.com/rss,1.00,pending,,,"{""episode_title"": ""170 - Sigma ISIS with Che Durena"", ""feed_url"": ""https://cowboyboys.libsyn.com/rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 11247589532, ""podcast_index_guid"": ""be6a624e-21c1-461f-aa7d-5f59df18fd21"", ""podcast_name"": ""Cowboy Boys Podcast"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""451353"", ""source_feed_url"": ""https://cowboyboys.libsyn.com/rss""}"
28:5009368,28,Che Durena,Home Wrecking With Che Durena,"che, durena",5009368,Almost Friday Podcast,,https://feeds.megaphone.fm/almostfridaypodcast,1.00,pending,,,"{""episode_title"": ""Home Wrecking With Che Durena"", ""feed_url"": ""https://feeds.megaphone.fm/almostfridaypodcast"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 14690948699, ""podcast_index_guid"": ""c1b39408-1313-4419-a7ea-afdb01234bb8"", ""podcast_name"": ""Almost Friday Podcast"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""5009368"", ""source_feed_url"": ""https://feeds.megaphone.fm/almostfridaypodcast""}"
28:5723491,28,Che Durena,Che Durena | Getinthecar Podcast | Ep. 20,"che, durena",5723491,Getinthecar Podcast,,https://feeds.libsyn.com/440316/rss,1.00,pending,,,"{""episode_title"": ""Che Durena | Getinthecar Podcast | Ep. 20"", ""feed_url"": ""https://feeds.libsyn.com/440316/rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 15568444944, ""podcast_index_guid"": ""61e6a6ff-9c3c-4a6f-b97e-18310e84658f"", ""podcast_name"": ""Getinthecar Podcast"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""5723491"", ""source_feed_url"": ""https://feeds.libsyn.com/440316/rss""}"
28:6041424,28,Che Durena,"SOTS Montreal at Midnight: Brad Williams, Casey Rocket, Che Durena & Jeremiah Watkins | Ep 80","che, durena",6041424,Stand-Up On The Spot,,https://rss.libsyn.com/shows/563155/destinations/4867585.xml,1.00,pending,,,"{""episode_title"": ""SOTS Montreal at Midnight: Brad Williams, Casey Rocket, Che Durena & Jeremiah Watkins | Ep 80"", ""feed_url"": ""https://rss.libsyn.com/shows/563155/destinations/4867585.xml"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 41677048326, ""podcast_index_guid"": ""49fea85e-2725-4f76-8494-e22f8a7c84d1"", ""podcast_name"": ""Stand-Up On The Spot"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6041424"", ""source_feed_url"": ""https://rss.libsyn.com/shows/563155/destinations/4867585.xml""}"
28:6287946,28,Che Durena,#18: Girl Rotting with Che Durena,"che, durena",6287946,Not 4 Nothing,,https://anchor.fm/s/da57eefc/podcast/rss,1.00,pending,,,"{""episode_title"": ""#18: Girl Rotting with Che Durena"", ""feed_url"": ""https://anchor.fm/s/da57eefc/podcast/rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 15570226514, ""podcast_index_guid"": ""996d31dd-b7e7-4120-a69b-3ee26f2765d3"", ""podcast_name"": ""Not 4 Nothing"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6287946"", ""source_feed_url"": ""https://anchor.fm/s/da57eefc/podcast/rss""}"
28:6401207,28,Che Durena,Che Durena From Stand Up Comedy to Over 1 Billion Views Worldwide,"che, durena",6401207,Fargo Talks,,https://feed.ausha.co/qxpD7iv10A8Q,1.00,pending,,,"{""episode_title"": ""Che Durena From Stand Up Comedy to Over 1 Billion Views Worldwide"", ""feed_url"": ""https://feed.ausha.co/qxpD7iv10A8Q"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""podcast_index"", ""podcast_index_episode_id"": 35261005564, ""podcast_index_guid"": ""58acc3cc3f293cf5704bb6e9c3408293104f454e"", ""podcast_name"": ""Fargo Talks"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6401207"", ""source_feed_url"": ""https://feed.ausha.co/qxpD7iv10A8Q""}"
28:6676148,28,Che Durena,Che Durena | The Trevor Simonian Show Episode #1,"che, durena",6676148,The Trevor Simonian Show,,https://anchor.fm/s/ec81e218/podcast/rss,1.00,pending,,,"{""episode_title"": ""Che Durena | The Trevor Simonian Show Episode #1"", ""feed_url"": ""https://anchor.fm/s/ec81e218/podcast/rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""podcast_index"", ""podcast_index_episode_id"": 16206815044, ""podcast_index_guid"": ""8115c69d-3948-423d-ac44-0093b799b4af"", ""podcast_name"": ""The Trevor Simonian Show"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6676148"", ""source_feed_url"": ""https://anchor.fm/s/ec81e218/podcast/rss""}"
28:6798272,28,Che Durena,Canadian Statehood & Horny Skip Bayless ft. Che Durena,"che, durena",6798272,The Joey Show,,https://anchor.fm/s/1084b8968/podcast/rss,1.00,pending,,,"{""episode_title"": ""Canadian Statehood & Horny Skip Bayless ft. Che Durena"", ""feed_url"": ""https://anchor.fm/s/1084b8968/podcast/rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 32211616805, ""podcast_index_guid"": ""joeyshowpodcast.podbean.com/04ddfe6f-2484-3fb6-8c28-d207c5804277"", ""podcast_name"": ""The Joey Show"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6798272"", ""source_feed_url"": ""https://anchor.fm/s/1084b8968/podcast/rss""}"
28:6840624,28,Che Durena,Episode 40 - We Say His Name Around Here with Che Durena,"che, durena",6840624,30 Minutes on High Audio Podcast,,https://anchor.fm/s/ebfcba98/podcast/rss,1.00,pending,,,"{""episode_title"": ""Episode 40 - We Say His Name Around Here with Che Durena"", ""feed_url"": ""https://anchor.fm/s/ebfcba98/podcast/rss"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""podcast_index"", ""podcast_index_episode_id"": 37341571071, ""podcast_index_guid"": ""a58e207e-b881-4b99-9b16-e588247e9e0c"", ""podcast_name"": ""30 Minutes on High Audio Podcast"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6840624"", ""source_feed_url"": ""https://anchor.fm/s/ebfcba98/podcast/rss""}"
28:6985901,28,Che Durena,42 -Sydney Sweeney’s Bathwater & Bonnie Blue goes for 2000 – Dark Holes with Che Durena,"che, durena",6985901,Dark Holes With Che Durena,,https://rss.art19.com/dark-holes,1.00,pending,,,"{""episode_title"": ""42 -Sydney Sweeney\u2019s Bathwater & Bonnie Blue goes for 2000 \u2013 Dark Holes with Che Durena"", ""feed_url"": ""https://rss.art19.com/dark-holes"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 38273549554, ""podcast_index_guid"": ""gid://art19-episode-locator/V0/nyGfK8s9xmJQ7AfRXeGNycdrEz9eNbzMWuX8k60IBiY"", ""podcast_name"": ""Dark Holes With Che Durena"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""6985901"", ""source_feed_url"": ""https://rss.art19.com/dark-holes""}"
28:7411017,28,Che Durena,Female Prostate with Che Durena,"che, durena",7411017,The Bonfire with Big Jay Oakerson and Robert Kelly,,https://www.spreaker.com/show/6206113/episodes/feed,1.00,pending,,,"{""episode_title"": ""Female Prostate with Che Durena"", ""feed_url"": ""https://www.spreaker.com/show/6206113/episodes/feed"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 43065758451, ""podcast_index_guid"": ""19661115-a560-4bfc-b088-309cd76ea4b7"", ""podcast_name"": ""The Bonfire with Big Jay Oakerson and Robert Kelly"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""7411017"", ""source_feed_url"": ""https://www.spreaker.com/show/6206113/episodes/feed""}"
28:7804855,28,Che Durena,Home Wrecking With Che Durena,"che, durena",7804855,Almost Friday Podcast,,https://feeds.redcircle.com/3287e72a-252a-4389-95bd-4a71208b23e2,1.00,pending,,,"{""episode_title"": ""Home Wrecking With Che Durena"", ""feed_url"": ""https://feeds.redcircle.com/3287e72a-252a-4389-95bd-4a71208b23e2"", ""matched_terms"": [""che"", ""durena""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 54417656606, ""podcast_index_guid"": ""c1b39408-1313-4419-a7ea-afdb01234bb8"", ""podcast_name"": ""Almost Friday Podcast"", ""search_term"": ""Che Durena"", ""source_feed_id"": ""7804855"", ""source_feed_url"": ""https://feeds.redcircle.com/3287e72a-252a-4389-95bd-4a71208b23e2""}"
665:226731,665,Adam Conover,Episode 164 - Adam Conover,"adam, conover",226731,Entry Level with Brooks Wheelan,,https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/7c7e0e1d-d2d5-4955-9fa6-aca9000228a9/fec89de0-6c1e-4292-ae46-aca9000228b7/podcast.rss,1.00,pending,,,"{""episode_title"": ""Episode 164 - Adam Conover"", ""feed_url"": ""https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/7c7e0e1d-d2d5-4955-9fa6-aca9000228a9/fec89de0-6c1e-4292-ae46-aca9000228b7/podcast.rss"", ""matched_terms"": [""adam"", ""conover""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 33416216428, ""podcast_index_guid"": ""gid://art19-episode-locator/V0/wv1E32xipqdarOxZKajb_VzLVyFCSSJeLcScEz398YE"", ""podcast_name"": ""Entry Level with Brooks Wheelan"", ""search_term"": ""Adam Conover"", ""source_feed_id"": ""226731"", ""source_feed_url"": ""https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/7c7e0e1d-d2d5-4955-9fa6-aca9000228a9/fec89de0-6c1e-4292-ae46-aca9000228b7/podcast.rss""}"
665:379769,665,Adam Conover,🔴 INSANE DEBATE!!! Tim Pool VS Adam Conover ¦ 372,"adam, conover",379769,Sitch and Adam Show,,https://anchor.fm/s/2902456c/podcast/rss,1.00,pending,,,"{""episode_title"": ""\ud83d\udd34 INSANE DEBATE!!! Tim Pool VS Adam Conover \u00a6 372"", ""feed_url"": ""https://anchor.fm/s/2902456c/podcast/rss"", ""matched_terms"": [""adam"", ""conover""], ""metadata_source"": ""rss"", ""podcast_index_episode_id"": 37900431719, ""podcast_index_guid"": ""b51131cd-0939-43ba-a134-1d481b1d9a42"", ""podcast_name"": ""Sitch and Adam Show"", ""search_term"": ""Adam Conover"", ""source_feed_id"": ""379769"", ""source_feed_url"": ""https://anchor.fm/s/2902456c/podcast/rss""}"
